"The refund could not be created because the credit memo is missing", "De terugbetaling kan niet aangemaakt worden, omdat er geen credit memo is gevonden"
"Invalid Date of Birth", "Ongeldige geboortedatum"
"This gateway does not allow a different billing and shipping address", "Deze betaalmethode staat niet toe dat de verzendadres en factuuradres van elkaar afwijken"
" is not a valid IBAN number"," is geen geldige IBAN nummer"
"The transaction could not be created because the payment object is missing", "De transactie kon niet aangemaakt worden, omdat het betaalobject niet aanwezig is"
"The transaction could not be created because the billing address is missing", "De transactie kon niet aangemaakt worden, omdat het factuuradres niet aanwezig is"
"The order has been reopened because a new transaction was started by the customer", "De bestelling is heropend, omdat er een nieuwe transactie is gestart door de klant"
"Payment method changed to ", "Betaalmethode gewijzigd naar "
"The order status could not be updated at MultiSafepay. It can be manually updated in MultiSafepay Control", "De status van de bestelling kon niet gewijzigd worden bij MultiSafepay. Het kan handmatig bijgewerkt worden in MultiSafepay Control"
"The order status has succesfully been updated at MultiSafepay", "De status van de bestelling is aangepast bij MultiSafepay"
"No currency code set", "Geen currency code gevonden"
"A great payment method for backend orders. Let the customer decide how he wants to pay.", "Een ideale betaalmethode voor backend orders. Laat de klant beslissen op wat voor manier er betaald wordt."
"Enabled", "Ingeschakeld"
"Title", "Titel"
"Yes", "Ja"
"No", "Nee"
"Applicable Countries", "Toegepaste landen"
"Specific Countries", "Specifieke landen"
"Applicable Currencies", "Toegepaste valuta's"
"Specific Currencies", "Specifieke valuta's"
"Applicable Shipping Methods", "Toegepaste verzendmethoden"
"Specific Shipping Methods", "Specifieke verzendmethoden"
"Applicable Customer Groups", "Toegepaste klantengroepen"
"Specific Customer Groups", "Specifieke klantengroepen"
"Applicable Order Total Amount", "Toepassen voor totaalbedrag van de bestelling"
"Minimum Order Total", "Minimum totaalbedrag"
"Maximum Order Total", "Maximum totaalbedrag"
"Custom Payment Link Lifetime", "Aangepaste levensduur voor betaallink"
"Payment Link Lifetime Unit", "Eenheid voor aangepaste levensduur"
"Payment Link Lifetime Value", "Waarde voor aangepaste levensduur"
"Sort Order","Sorteer Volgorde"
<a href="https://docs.multisafepay.com/faq/api/lifetime-of-a-payment-link/" target="blank">What is the lifetime of a payment link?</a>,<a href="https://docs.multisafepay.com/faq/api/lifetime-of-a-payment-link/" target="blank">Wat is de levensduur van een betaallink?</a>
"All applied", "Toegepast op alles"
"Specific applied", "Specifieken toegepast"
"Seconds", "Seconden"
"Minutes", "Minuten"
"Hours", "Uren"
"Days", "Dagen"
"Configure", "Configureren"
"Close", "Sluiten"
"Payment Gateways", "Betaalmethoden"
"General Settings", "Algemene instellingen"
"Live mode", "Live modus"
"Enable Debug mode", "Debug modus activeren"
"Write detailed information to", "Schrijf gedetailleerde informatie naar"
"General Information", "Algemene informatie"
"The leading ecommerce payment system in the Netherlands.", "iDEAL is als populaire betaalmethode volledig geïntegreerd met de online bankomgevingen van de Nederlandse banken."
"AfterPay is one of the most known pay after solutions in the Netherlands and in Belgium.", "Afterpay is door het gemakkelijk betalen met één klik erg geliefd onder Belgische en Nederlandse consumenten."
